{ Hakim Khan
100 | [12001, 368000] [11987, 247300] [12053, 401800] [12033, 324900] [11995, 217500] [12019, 205100] [12035, 123900] [12045, 124500] [11951, 131900] [11985, 120200] [11999, 94000] [12039, 92500] [11999, 92300] [12013, 92100] [11983, 114700] [12013, 93300] [12027, 93500] [11961, 91500] [12009, 95900] [12013, 93000] [12001, 92600] [11993, 90000] [11993, 126300] [12019, 120500] [12029, 108700] [12027, 94800] [12027, 93900] [12043, 93900] [12013, 93400] [12009, 92100] [12031, 89000] [11975, 92400] [11999, 109900] [12023, 95400] [12043, 91100] [12007, 91800] [12031, 92200] [12021, 89200] [12009, 93400] [11993, 94100] 
200 | [27125, 201400] [27049, 206800] [27047, 204900] [27069, 204100] [27149, 206000] [27157, 203100] [27109, 205300] [27163, 209600] [27157, 203000] [27125, 219900] [27125, 206800] [27155, 203100] [27107, 208800] [27115, 200800] [27099, 206900] [27179, 202700] [27079, 209700] [27157, 285700] [27101, 202400] [27127, 205900] [27157, 203600] [27055, 223000] [27095, 203200] [27083, 213200] [27199, 218200] [27101, 260100] [27125, 265400] [27171, 266800] [27119, 271200] [27145, 265300] [27141, 266600] [27173, 267700] [27143, 274200] [27117, 270700] [27117, 271400] [27095, 262100] [27133, 278500] [27105, 228800] [27119, 207200] [27139, 218100] 
300 | [43363, 307000] [43337, 303600] [43373, 321600] [43371, 343800] [43319, 375600] [43395, 370300] [43401, 320200] [43355, 304900] [43389, 409000] [43375, 417800] [43441, 420300] [43325, 411100] [43435, 426500] [43421, 424100] [43379, 378700] [43383, 308100] [43419, 308100] [43405, 307100] [43413, 302400] [43415, 306100] [43295, 306800] [43373, 312200] [43403, 337400] [43435, 306500] [43389, 299900] [43381, 350300] [43447, 323100] [43419, 313400] [43411, 315000] [43417, 330900] [43425, 412500] [43367, 364800] [43351, 372200] [43417, 402100] [43457, 383200] [43387, 373500] [43335, 368300] [43411, 366500] [43433, 360400] [43389, 365700] 
400 | [60369, 514600] [60435, 524200] [60453, 514300] [60559, 523800] [60411, 513300] [60489, 541200] [60385, 496300] [60507, 505400] [60521, 529700] [60439, 510800] [60465, 488700] [60483, 479700] [60395, 488700] [60465, 497800] [60407, 526100] [60407, 461900] [60535, 463100] [60511, 429600] [60457, 425700] [60317, 486000] [60537, 580000] [60377, 519900] [60389, 518400] [60475, 514000] [60385, 517000] [60391, 517600] [60503, 532100] [60483, 515300] [60383, 537700] [60473, 515700] [60523, 516600] [60407, 516200] [60507, 518200] [60517, 518000] [60489, 499700] [60375, 496900] [60403, 481200] [60359, 424100] [60431, 534900] [60489, 459700] 
500 | [77613, 572600] [77617, 628500] [77595, 656200] [77697, 664500] [77655, 663000] [77673, 629900] [77649, 543300] [77649, 536200] [77693, 572900] [77725, 537900] [77739, 540300] [77663, 590700] [77667, 620500] [77623, 577100] [77597, 556900] [77657, 570200] [77693, 569000] [77635, 576200] [77713, 579900] [77725, 550300] [77623, 542100] [77669, 534900] [77705, 606400] [77621, 553300] [77575, 563100] [77695, 549600] [77671, 544000] [77671, 540100] [77693, 564100] [77697, 702100] [77711, 657400] [77637, 566000] [77685, 661700] [77619, 644900] [77703, 608300] [77685, 616200] [77657, 548900] [77671, 538200] [77641, 543600] [77645, 564900] 
600 | [96149, 703100] [95967, 759400] [96091, 866100] [95915, 820100] [96053, 799500] [96073, 1063800] [95947, 932500] [96055, 931900] [96065, 787400] [96045, 759000] [96045, 657000] [96099, 766900] [96177, 647100] [96017, 654200] [96039, 757200] [96023, 740900] [96061, 709100] [96019, 704000] [96041, 656900] [95883, 641500] [96087, 665000] [96117, 673400] [96029, 646400] [96005, 650900] [96095, 660900] [96025, 642800] [96023, 653100] [95997, 651100] [96035, 638100] [96133, 645300] [96001, 643900] [96053, 639800] [96163, 643100] [95983, 645400] [95985, 703300] [96089, 761700] [96079, 708700] [96081, 648800] [95897, 672200] [96021, 825600] 
700 | [114771, 874300] [114741, 868400] [114519, 793900] [114633, 780100] [114695, 785000] [114615, 771200] [114771, 762500] [114709, 759700] [114729, 758500] [114683, 944500] [114579, 899400] [114629, 913000] [114681, 758900] [114547, 761500] [114543, 750200] [114739, 793600] [114649, 786500] [114709, 761800] [114713, 759200] [114703, 866300] [114695, 895500] [114657, 774400] [114693, 764300] [114599, 776400] [114739, 783000] [114631, 776400] [114705, 748100] [114563, 750700] [114695, 754500] [114595, 762700] [114667, 777500] [114663, 769200] [114583, 772600] [114633, 755000] [114615, 755900] [114657, 912700] [114739, 781500] [114581, 768000] [114667, 797400] [114669, 762600] 
800 | [133287, 885600] [133445, 902600] [133381, 909300] [133445, 897300] [133357, 999000] [133323, 1046800] [133409, 1039300] [133293, 1066700] [133385, 1049600] [133423, 1042100] [133419, 945100] [133289, 964800] [133419, 947800] [133467, 881300] [133377, 893400] [133361, 1003500] [133403, 937800] [133255, 900100] [133187, 933100] [133401, 1047000] [133197, 1042900] [133339, 1046400] [133357, 918200] [133247, 897900] [133395, 961900] [133265, 928800] [133245, 954700] [133273, 977300] [133259, 932100] [133223, 1090600] [133407, 944000] [133175, 878200] [133473, 889800] [133301, 897700] [133277, 880800] [133327, 912100] [133299, 1032100] [133341, 943800] [133223, 1016200] [133383, 918800] 
900 | [152089, 1010700] [152085, 1011100] [152123, 1011400] [152113, 1011400] [152125, 1076700] [152029, 1040600] [152121, 1051300] [152267, 1049700] [152109, 1026400] [152041, 1024100] [151995, 1009200] [151961, 1029200] [151993, 1072800] [152051, 1097400] [151907, 1031700] [152037, 1141900] [152067, 1022700] [152049, 1014500] [152229, 1009600] [152021, 1003500] [152041, 1179500] [151955, 1101000] [152079, 1001700] [151997, 1046300] [151973, 1013300] [151965, 1006200] [152009, 998600] [151987, 1010800] [152129, 1071400] [152103, 1047300] [151943, 1005300] [152191, 1001800] [152069, 1154200] [152125, 1010700] [152093, 1000100] [152045, 1005200] [152027, 1009700] [152111, 1007900] [152213, 1013900] [152129, 1006400] 
1000 | [170713, 1163600] [170947, 1134900] [170727, 1129100] [170927, 1130300] [170915, 1275500] [170831, 1134900] [170701, 1126100] [170949, 1139400] [170901, 1138000] [170827, 1125700] [170717, 1120400] [170745, 1143000] [170741, 1121100] [170789, 1122600] [170803, 1221000] [170943, 1138900] [170811, 1124800] [170881, 1128900] [170947, 1141900] [170979, 1140600] [170849, 1139300] [170693, 1125100] [170851, 1134500] [170741, 1134900] [170823, 1131400] [170829, 1442800] [170761, 1424800] [170777, 1136600] [170849, 1261200] [170829, 1160900] [170821, 1146500] [170855, 1234200] [170789, 1142400] [170679, 1145900] [170837, 1156800] [170907, 1144700] [170849, 1160100] [170781, 1142100] [170869, 1191700] [170773, 1138800] 
1100 | [190561, 1284300] [190649, 1286800] [190635, 1260100] [190507, 1249200] [190559, 1279400] [190615, 1276300] [190683, 1257200] [190703, 1251900] [190625, 1256900] [190707, 1267500] [190675, 1267000] [190575, 1250200] [190645, 1255800] [190569, 1281900] [190583, 1258700] [190611, 1261600] [190611, 1269400] [190603, 1262400] [190717, 1269000] [190513, 1252700] [190653, 1257600] [190583, 1267600] [190695, 1252300] [190775, 1266700] [190523, 1267300] [190703, 1258100] [190655, 1258900] [190439, 3624500] [190581, 1290300] [190703, 1423700] [190683, 1331300] [190559, 1271100] [190673, 1418700] [190645, 1366400] [190649, 1333200] [190655, 1240300] [190643, 1214300] [190643, 1228400] [190693, 1227300] [190637, 1282300] 
1200 | [210827, 1432900] [210593, 1374200] [210681, 1394200] [210629, 1454600] [210741, 1494000] [210871, 1393100] [210551, 1356500] [210919, 1360700] [210767, 1342200] [210691, 1371700] [210839, 1404300] [210723, 1397000] [210853, 1384900] [210745, 1399400] [210731, 1363700] [210661, 1365500] [210791, 1392300] [210759, 1432700] [210615, 1344900] [210855, 1373400] [210831, 1359500] [210827, 1346100] [210569, 1448700] [210711, 1400700] [210793, 1349400] [210711, 1357100] [210671, 1346500] [210861, 1339200] [210689, 1609400] [210513, 1743900] [210675, 1488000] [210675, 1343000] [210689, 1346400] [210797, 1376600] [210683, 1486600] [210613, 1373500] [210617, 1344500] [210697, 1351600] [210735, 1344300] [210699, 1379700] 
}
