{ Hakim Khan
100 | [6189, 176800] [6039, 104700] [7247, 84600] [7720, 97300] [5853, 73500] [6837, 67400] [6910, 76800] [7394, 44200] [6216, 38100] [6234, 36700] [6074, 73000] [6654, 40000] [6103, 35800] [5776, 33300] [5988, 45400] [7378, 42800] [7101, 40000] [6994, 34500] [6489, 37500] [6004, 34000] [6105, 35100] [5861, 33300] [7122, 41000] [7383, 40300] [7708, 42200] [5555, 29900] [5902, 44500] [6287, 34200] [6692, 45600] [6398, 34000] [6464, 32400] [7388, 41300] [6403, 35400] [6798, 37600] [5814, 32800] [7260, 40100] [8051, 41700] [6923, 37600] [6263, 34700] [6180, 34300] 
200 | [15154, 87900] [19938, 105200] [15134, 77600] [16415, 86100] [16087, 86100] [15518, 78700] [16101, 86300] [13822, 72800] [16620, 87100] [14219, 76800] [15710, 79000] [14930, 78800] [15567, 76400] [16992, 89300] [14652, 76900] [16040, 83100] [15603, 79700] [15730, 81700] [16597, 80900] [18044, 94500] [16836, 88400] [14874, 76300] [16779, 84700] [15436, 86300] [14636, 70200] [14578, 72000] [16961, 121100] [16037, 76700] [18058, 81000] [14004, 69800] [14013, 67600] [15439, 75100] [16588, 79400] [15118, 69400] [14894, 67400] [14737, 68600] [15022, 70000] [15187, 66900] [15026, 72500] [14240, 65100] 
300 | [23828, 112800] [28385, 127800] [23093, 110400] [23391, 123900] [26971, 151900] [25939, 126700] [27567, 131000] [22726, 108100] [26680, 123400] [27398, 131700] [26651, 130300] [24841, 131200] [26283, 145100] [23449, 135900] [25385, 135800] [26432, 136300] [25276, 138300] [24659, 130700] [30506, 171700] [25561, 147500] [23603, 136300] [23951, 132200] [22987, 134000] [27928, 148700] [26569, 124700] [23022, 114800] [24279, 138900] [22947, 121800] [25002, 129400] [23637, 132000] [28752, 152100] [23745, 130700] [24778, 138800] [23734, 136600] [23782, 128100] [23290, 134100] [25010, 136000] [24934, 150900] [25844, 145400] [24767, 135800] 
400 | [37019, 185600] [37389, 195500] [35967, 196100] [34797, 199200] [35734, 200800] [32359, 175900] [42175, 188200] [37753, 178300] [35588, 168600] [33212, 160400] [35278, 152900] [34886, 188200] [33812, 162500] [34010, 149700] [34655, 197800] [36256, 173400] [39525, 178800] [34477, 163600] [36177, 160000] [34372, 160200] [34301, 156100] [34730, 153000] [33919, 158400] [36752, 174100] [32459, 141000] [33386, 157700] [34523, 150200] [34375, 147400] [33599, 147900] [35138, 165600] [32495, 146900] [35188, 166400] [33494, 151800] [38771, 189900] [33717, 152900] [35815, 164400] [34428, 163800] [40179, 204900] [35638, 167000] [31465, 146300] 
500 | [48513, 227300] [45163, 216800] [45363, 207400] [44517, 211600] [45688, 208400] [48042, 226100] [42151, 187300] [44099, 176500] [44686, 201300] [51186, 226900] [48630, 215300] [48122, 213900] [50141, 229600] [46472, 196800] [45731, 208600] [55674, 234300] [49672, 227900] [43409, 200500] [49721, 206700] [50626, 232600] [44476, 192400] [45000, 213600] [44545, 216700] [47156, 196300] [46485, 217000] [43904, 194100] [46813, 204500] [41815, 197800] [44121, 186500] [53762, 242000] [47114, 211200] [49169, 227900] [46126, 218100] [45273, 220900] [45723, 228400] [44055, 198500] [50524, 237100] [46045, 205800] [47185, 213500] [52306, 247300] 
600 | [54689, 247100] [55555, 252000] [58342, 257400] [56170, 255200] [54078, 235100] [54770, 257100] [53620, 264700] [57449, 268000] [56771, 255300] [52584, 246200] [59034, 270700] [58891, 270600] [53312, 242000] [55977, 256900] [57739, 257500] [55544, 261900] [61131, 266500] [54774, 241400] [65581, 296500] [62370, 279800] [54650, 242100] [63216, 286100] [53608, 244400] [54402, 218800] [58758, 266000] [59438, 323100] [58846, 303700] [53654, 245100] [55188, 253200] [53778, 241100] [53478, 233600] [52430, 235600] [63034, 280700] [54889, 231400] [55769, 234400] [62261, 307400] [56172, 273800] [55671, 254300] [61658, 279400] [56138, 263500] 
700 | [69342, 377200] [77445, 381100] [69345, 307600] [70343, 325100] [65038, 340700] [71788, 357200] [68258, 372700] [66530, 291900] [63214, 299800] [72550, 460100] [62576, 312800] [67309, 366900] [64430, 377200] [67371, 376800] [64089, 279400] [67927, 288900] [73274, 344800] [62698, 298100] [77657, 357700] [64123, 336100] [68461, 302700] [70774, 316300] [67324, 299100] [64947, 303200] [69811, 323600] [66852, 299700] [71426, 328100] [71212, 322900] [62300, 312100] [69603, 350000] [71708, 361200] [79067, 409100] [71618, 328900] [67247, 300300] [65984, 290600] [70409, 358400] [72619, 317300] [65807, 284600] [73659, 332600] [72418, 375700] 
800 | [72382, 320700] [87335, 399800] [82293, 375200] [79608, 373300] [83233, 365700] [80666, 352700] [73339, 331100] [83383, 377900] [77945, 336900] [75139, 337700] [84466, 404100] [87948, 390300] [77774, 338300] [77942, 309000] [77940, 350700] [79722, 348600] [86964, 380800] [81522, 361800] [79035, 351700] [83172, 380700] [86706, 411700] [77352, 335700] [88369, 396800] [77597, 330400] [78573, 349800] [75419, 327600] [80713, 358600] [75475, 339300] [89847, 406100] [79651, 369000] [73834, 339600] [89754, 454400] [83492, 407200] [74093, 338500] [81044, 357400] [80726, 357100] [80217, 361200] [76645, 398800] [82816, 380400] [76688, 359300] 
900 | [83923, 367300] [101187, 459000] [94202, 443000] [91596, 408600] [93202, 412300] [90823, 405200] [95102, 428900] [92822, 441800] [89301, 438100] [89280, 406700] [102431, 450500] [93076, 444700] [88902, 487100] [87960, 419800] [92157, 392600] [86605, 490600] [86937, 407100] [91527, 445700] [89312, 388600] [94478, 466800] [103461, 490200] [90428, 449300] [98277, 408300] [91304, 396400] [98909, 513800] [82270, 429400] [99623, 528900] [103962, 550600] [89741, 451100] [88646, 437600] [87520, 462300] [89761, 436100] [92458, 481400] [87988, 471000] [87415, 426100] [87856, 435800] [90601, 457800] [99846, 455000] [87820, 526000] [86880, 466400] 
1000 | [108011, 515700] [107586, 511800] [114379, 530700] [119587, 553500] [100442, 463900] [102724, 460500] [106525, 587800] [102460, 532300] [104573, 498200] [102623, 524200] [101441, 524000] [114558, 644200] [110679, 533900] [101049, 513200] [107339, 542900] [101338, 536300] [102012, 552300] [102042, 548800] [109879, 523700] [100107, 512900] [107641, 536200] [107948, 537300] [102794, 509200] [105745, 524100] [105535, 659100] [116686, 578800] [111464, 514700] [92424, 427300] [102155, 510500] [106346, 464800] [106916, 487000] [99289, 528800] [97289, 507500] [96964, 496500] [106567, 526900] [104137, 521900] [108931, 587400] [112115, 526000] [109063, 546000] [100457, 496600] 
1100 | [114297, 595300] [120278, 530200] [107312, 504100] [120369, 593500] [123088, 532800] [113118, 595000] [112244, 480800] [123347, 655600] [107422, 538200] [106402, 488100] [134441, 701300] [111880, 533700] [119119, 546700] [113908, 500400] [112811, 510400] [120178, 557700] [106546, 505600] [110747, 523000] [107163, 519800] [126651, 653000] [122936, 603300] [105271, 583800] [106722, 544200] [114926, 545300] [109646, 509600] [114391, 557300] [114937, 598500] [114185, 530700] [123095, 612500] [110826, 548800] [108920, 534900] [111485, 589600] [114029, 576000] [108956, 525500] [113479, 580000] [109598, 536000] [132351, 647000] [121442, 544500] [113421, 502000] [109273, 480800] 
